

07/09/2015 09:48:22:439 AM EDT     ACL: [NT AUTHORITY\SYSTEM:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, BUILTIN\Administrators:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, KVM463-R84F2BH\yogi:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW]
07/09/2015 09:48:22:455 AM EDT     Ready to insert file meta data..
07/09/2015 09:48:22:595 AM EDT     File Name = 2014-wfm-planned.bqy
07/09/2015 09:48:22:595 AM EDT     File System Name = sun.nio.fs.WindowsFileSystem@c4f01f2
07/09/2015 09:48:22:595 AM EDT     Directory Tree Depth = 9
07/09/2015 09:48:22:595 AM EDT     Parent Path = C:\Users\IBM_ADMIN\Desktop\Downloads\IBM\Sage\SageFTPFileMonitoring\GSA_Test_Files
07/09/2015 09:48:22:611 AM EDT     Root of the File Path: C:\
07/09/2015 09:48:22:611 AM EDT     Total Space: 153497 MB, Available Space 16654 MB, Used Space 136843 MB
07/09/2015 09:48:22:626 AM EDT     Name of the File Storage: 
07/09/2015 09:48:22:626 AM EDT     Type of the File Storage: NTFS
07/09/2015 09:48:22:626 AM EDT     supported file attribute views: [acl, basic, owner, user, dos]
07/09/2015 09:48:22:626 AM EDT     Last Modified: 2015-07-06T18:52:57.883789Z
07/09/2015 09:48:22:626 AM EDT     Created: 2015-07-06T18:48:52.503906Z
07/09/2015 09:48:22:626 AM EDT     Last Accessed: 2015-07-06T18:48:52.503906Z
07/09/2015 09:48:22:626 AM EDT     File Size: 10879 kb
07/09/2015 09:48:22:626 AM EDT     File Type/Extension: bqy
07/09/2015 09:48:22:642 AM EDT     File Owner: KVM463-R84F2BH\yogi
07/09/2015 09:48:22:642 AM EDT     ACL: [NT AUTHORITY\SYSTEM:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, BUILTIN\Administrators:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, KVM463-R84F2BH\yogi:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW]
07/09/2015 09:48:22:658 AM EDT     Ready to insert file meta data..
07/09/2015 09:48:22:751 AM EDT     File Name = 2014-wfm-ytd-ALL.bqy
07/09/2015 09:48:22:751 AM EDT     File System Name = sun.nio.fs.WindowsFileSystem@c4f01f2
07/09/2015 09:48:22:751 AM EDT     Directory Tree Depth = 9
07/09/2015 09:48:22:751 AM EDT     Parent Path = C:\Users\IBM_ADMIN\Desktop\Downloads\IBM\Sage\SageFTPFileMonitoring\GSA_Test_Files
07/09/2015 09:48:22:751 AM EDT     Root of the File Path: C:\
07/09/2015 09:48:22:767 AM EDT     Total Space: 153497 MB, Available Space 16654 MB, Used Space 136843 MB
07/09/2015 09:48:22:767 AM EDT     Name of the File Storage: 
07/09/2015 09:48:22:767 AM EDT     Type of the File Storage: NTFS
07/09/2015 09:48:22:767 AM EDT     supported file attribute views: [acl, basic, owner, user, dos]
07/09/2015 09:48:22:767 AM EDT     Last Modified: 2015-07-06T18:55:11.03125Z
07/09/2015 09:48:22:783 AM EDT     Created: 2015-07-06T18:49:23.734375Z
07/09/2015 09:48:22:783 AM EDT     Last Accessed: 2015-07-06T18:49:23.734375Z
07/09/2015 09:48:22:783 AM EDT     File Size: 11409 kb
07/09/2015 09:48:22:783 AM EDT     File Type/Extension: bqy
07/09/2015 09:48:22:783 AM EDT     File Owner: KVM463-R84F2BH\yogi
07/09/2015 09:48:22:798 AM EDT     ACL: [NT AUTHORITY\SYSTEM:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, BUILTIN\Administrators:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, KVM463-R84F2BH\yogi:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW]
07/09/2015 09:48:22:798 AM EDT     Ready to insert file meta data..
07/09/2015 09:48:22:923 AM EDT     File Name = 2014-wfm-ytd-CCI.bqy
07/09/2015 09:48:22:923 AM EDT     File System Name = sun.nio.fs.WindowsFileSystem@c4f01f2
07/09/2015 09:48:22:939 AM EDT     Directory Tree Depth = 9
07/09/2015 09:48:22:939 AM EDT     Parent Path = C:\Users\IBM_ADMIN\Desktop\Downloads\IBM\Sage\SageFTPFileMonitoring\GSA_Test_Files
07/09/2015 09:48:22:939 AM EDT     Root of the File Path: C:\
07/09/2015 09:48:22:939 AM EDT     Total Space: 153497 MB, Available Space 16654 MB, Used Space 136843 MB
07/09/2015 09:48:22:955 AM EDT     Name of the File Storage: 
07/09/2015 09:48:22:955 AM EDT     Type of the File Storage: NTFS
07/09/2015 09:48:22:955 AM EDT     supported file attribute views: [acl, basic, owner, user, dos]
07/09/2015 09:48:22:955 AM EDT     Last Modified: 2015-07-06T18:57:36.984375Z
07/09/2015 09:48:22:955 AM EDT     Created: 2015-07-06T18:52:58.680664Z
07/09/2015 09:48:22:955 AM EDT     Last Accessed: 2015-07-06T18:52:58.680664Z
07/09/2015 09:48:22:955 AM EDT     File Size: 6459 kb
07/09/2015 09:48:22:955 AM EDT     File Type/Extension: bqy
07/09/2015 09:48:22:970 AM EDT     File Owner: KVM463-R84F2BH\yogi
07/09/2015 09:48:22:970 AM EDT     ACL: [NT AUTHORITY\SYSTEM:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, BUILTIN\Administrators:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, KVM463-R84F2BH\yogi:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW]
07/09/2015 09:48:22:986 AM EDT     Ready to insert file meta data..
07/09/2015 09:48:23:158 AM EDT     File Name = 2014-wfm-ytd-KellyServices.bqy
07/09/2015 09:48:23:158 AM EDT     File System Name = sun.nio.fs.WindowsFileSystem@c4f01f2
07/09/2015 09:48:23:158 AM EDT     Directory Tree Depth = 9
07/09/2015 09:48:23:158 AM EDT     Parent Path = C:\Users\IBM_ADMIN\Desktop\Downloads\IBM\Sage\SageFTPFileMonitoring\GSA_Test_Files
07/09/2015 09:48:23:158 AM EDT     Root of the File Path: C:\
07/09/2015 09:48:23:173 AM EDT     Total Space: 153497 MB, Available Space 16654 MB, Used Space 136843 MB
07/09/2015 09:48:23:173 AM EDT     Name of the File Storage: 
07/09/2015 09:48:23:173 AM EDT     Type of the File Storage: NTFS
07/09/2015 09:48:23:173 AM EDT     supported file attribute views: [acl, basic, owner, user, dos]
07/09/2015 09:48:23:173 AM EDT     Last Modified: 2015-07-06T19:00:08.720703Z
07/09/2015 09:48:23:173 AM EDT     Created: 2015-07-06T18:55:11.75Z
07/09/2015 09:48:23:189 AM EDT     Last Accessed: 2015-07-06T18:55:11.75Z
07/09/2015 09:48:23:189 AM EDT     File Size: 11438 kb
07/09/2015 09:48:23:189 AM EDT     File Type/Extension: bqy
07/09/2015 09:48:23:189 AM EDT     File Owner: KVM463-R84F2BH\yogi
07/09/2015 09:48:23:189 AM EDT     ACL: [NT AUTHORITY\SYSTEM:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, BUILTIN\Administrators:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW, KVM463-R84F2BH\yogi:READ_DATA/WRITE_DATA/APPEND_DATA/READ_NAMED_ATTRS/WRITE_NAMED_ATTRS/EXECUTE/DELETE_CHILD/READ_ATTRIBUTES/WRITE_ATTRIBUTES/DELETE/READ_ACL/WRITE_ACL/WRITE_OWNER/SYNCHRONIZE:ALLOW]
07/09/2015 09:48:23:205 AM EDT     Ready to insert file meta data..
07/09/2015 09:48:23:314 AM EDT     File Name = 2015-wfm-planned.bqy
07/09/2015 09:48:23:314 AM EDT     File System Name = sun.nio.fs.WindowsFileSystem@c4f01f2
07/09/2015 09:48:23:314 AM EDT     Directory Tree Depth = 9
07/09/2015 09:48:23:314 AM EDT     Parent Path = C:\Users\IBM_ADMIN\Desktop\Downloads\IBM\Sage\SageFTPFileMonitoring\GSA_Test_Files
07/09/2015 09:48:23:314 AM EDT     Root of the File Path: C:\
07/09/2015 09:48:23:330 AM EDT     Total Space: 153497 MB, Available Space 16654 MB, Used Space 136843 MB
07/09/2015 09:48:23:330 AM EDT     Name of the File Storage: 
07/09/2015 09:48:23:330 AM EDT     Type of the File Storage: NTFS
07/09/2015 09:48:23:330 AM EDT     supported file attribute views: [acl, basic, owner, user, dos]
07/09/2015 09:48:23:330 AM EDT     Last Modified: 2015-07-06T18:59:50.5Z
07/09/2015 09:48:23:330 AM EDT     Created: 2015-07-06T18:57:37.859375Z
07/09/2015 09:48:23:330 AM EDT     Last Accessed: 2015-07-06T18:57:37.859375Z
07/09/2015 09:48:23:345 AM EDT     File Size: 5838 kb
07/09/2015 09:48:23:345 AM EDT     File Type/Extension: bqy
07/09/2015 09:48:23:345 AM EDT     File Owner: KVM463-R84F2BH\yogi
